District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,21
State Total,8677615,3419585,39.41%,150000,1.73%,220409,2.54%,54203,0.62%,380040,4.38%,43027,0.5%,163656,1.89%,7631337,87.94%,634812,7.32%,409434,4.72%,329762,3.8%,776608,8.95%,677565,7.81%,12649,0.15%,74606,0.86%,11788,0.14%,417071,4.81%,33082,0.38%,2913628,33.58%,59158,0.68%,5670770,65.35%,76398,0.88%,130395,1.5%,3255015,37.51%,864538,9.96%,616802,7.11%,142243,1.64%,30483,0.35%,20821,0.24%,21
Bargarh (01),363860,140917,38.73%,3551,0.98%,4664,1.28%,2418,0.66%,11271,3.1%,657,0.18%,3281,0.9%,332714,91.44%,19980,5.49%,10950,3.01%,9287,2.55%,31435,8.64%,29164,8.02%,209,0.06%,1887,0.52,175,0.05%,12781,3.51%,1295,0.36%,98408,27.05%,1295,0.36%,262862,72.24%,4842,1.33%,8421,2.31%,142861,39.26%,48077,13.21%,17376,4.78%,7342,2.02%,451,0.12%,321,0.09%,21
Jharsuguda (02),87340,28628,32.78%,1047,1.2%,4895,5.6%,408,0.47%,4800,5.5%,2491,2.85%,2846,3.26%,74756,85.59%,5571,6.38%,6886,7.88%,4177,4.78%,14727,16.86%,13001,14.89%,94,0.11%,1517,1.74,115,0.13%,7335,8.4%,318,0.36%,36696,42.02%,528,0.6%,49798,57.02%,1616,1.85%,1713,1.96%,43026,49.26%,3029,3.47%,2785,3.19%,3136,3.59%,300,0.34%,94,0.11%,21
Sambalpur (03),186899,78637,42.07%,2240,1.2%,3748,2.01%,972,0.52%,7914,4.23%,401,0.21%,2441,1.31%,166124,88.88%,12456,6.66%,8319,4.45%,6897,3.69%,18556,9.93%,16568,8.86%,273,0.15%,1523,0.81,192,0.1%,9919,5.31%,400,0.21%,57341,30.68%,1043,0.56%,128115,68.55%,3549,1.9%,5988,3.2%,79945,42.77%,13183,7.05%,9012,4.82%,6770,3.62%,628,0.34%,296,0.16%,21
Debagarh (04),74644,27574,36.94%,1129,1.51%,1601,2.14%,251,0.34%,3989,5.34%,175,0.23%,523,0.7%,68821,92.2%,2939,3.94%,2884,3.86%,3292,4.41%,4780,6.4%,4459,5.97%,26,0.03%,272,0.36,23,0.03%,2670,3.58%,157,0.21%,14411,19.31%,231,0.31%,59845,80.17%,574,0.77%,1672,2.24%,39006,52.26%,4491,6.02%,4562,6.11%,1338,1.79%,227,0.3%,240,0.32%,21
Sundargarh (05),348141,94426,27.12%,5466,1.57%,10964,3.15%,1142,0.33%,14865,4.27%,2301,0.66%,9375,2.69%,312668,89.81%,18597,5.34%,16679,4.79%,12969,3.73%,33858,9.73%,30053,8.63%,461,0.13%,3142,0.9,202,0.06%,19404,5.57%,1073,0.31%,115786,33.26%,1847,0.53%,229435,65.9%,2962,0.85%,7600,2.18%,202797,58.25%,20932,6.01%,16814,4.83%,5497,1.58%,1279,0.37%,857,0.25%,21
Kendujhar (06),371247,94432,25.44%,5897,1.59%,9054,2.44%,1614,0.43%,15803,4.26%,1884,0.51%,7309,1.97%,336152,90.55%,18955,5.11%,16140,4.35%,13827,3.72%,33367,8.99%,28046,7.55%,522,0.14%,4102,1.1,697,0.19%,15832,4.26%,1022,0.28%,95364,25.69%,1170,0.32%,273691,73.72%,2793,0.75%,5552,1.5%,227387,61.25%,23773,6.4%,28156,7.58%,4517,1.22%,874,0.24%,452,0.12%,21
Mayurbhanj (07),571185,185193,32.42%,7121,1.25%,9153,1.6%,1469,0.26%,22074,3.86%,1059,0.19%,3518,0.62%,529017,92.62%,24480,4.29%,17688,3.1%,18807,3.29%,39162,6.86%,35618,6.24%,727,0.13%,2566,0.45,251,0.04%,15414,2.7%,1189,0.21%,158552,27.76%,2066,0.36%,409378,71.67%,3398,0.59%,6329,1.11%,310807,54.41%,37214,6.52%,37841,6.62%,5026,0.88%,741,0.13%,872,0.15%,21
Baleshwar (08),501571,161039,32.11%,10333,2.06%,12915,2.57%,3577,0.71%,23192,4.62%,1806,0.36%,11738,2.34%,406511,81.05%,65162,12.99%,29898,5.96%,20352,4.06%,51008,10.17%,42224,8.42%,672,0.13%,7668,1.53,444,0.09%,27063,5.4%,2841,0.57%,224747,44.81%,3998,0.8%,269985,53.83%,4386,0.87%,8673,1.73%,203557,40.58%,75372,15.03%,53430,10.65%,10804,2.15%,2736,0.55%,1289,0.26%,21
Bhadrak (09),298494,93608,31.36%,5531,1.85%,12644,4.24%,3480,1.17%,15374,5.15%,5194,1.74%,9903,3.32%,245038,82.09%,31611,10.59%,21845,7.32%,13383,4.48%,28697,9.61%,23012,7.71%,517,0.17%,3988,1.34,1180,0.4%,17561,5.88%,1263,0.42%,150480,50.41%,2751,0.92%,144000,48.24%,3641,1.22%,6083,2.04%,122897,41.17%,42511,14.24%,48359,16.2%,8356,2.8%,1317,0.44%,676,0.23%,21
Kendrapara (10),324712,110643,34.07%,7130,2.2%,10625,3.27%,4860,1.5%,19230,5.92%,1592,0.49%,14505,4.47%,251943,77.59%,45403,13.98%,27366,8.43%,17507,5.39%,33654,10.36%,30879,9.51%,501,0.15%,1951,0.6,323,0.1%,23036,7.09%,2416,0.74%,157613,48.54%,2866,0.88%,161817,49.83%,3644,1.12%,5521,1.7%,144760,44.58%,50777,15.64%,27480,8.46%,5000,1.54%,723,0.22%,634,0.2%,21
Jagatsinghapur (11),249423,72155,28.93%,6548,2.63%,10428,4.18%,1961,0.79%,19013,7.62%,1514,0.61%,16022,6.42%,191942,76.95%,34802,13.95%,22679,9.09%,17447,6.99%,37043,14.85%,33993,13.63%,492,0.2%,2380,0.95,178,0.07%,22169,8.89%,1179,0.47%,141694,56.81%,2696,1.08%,103854,41.64%,3223,1.29%,5534,2.22%,106933,42.87%,65156,26.12%,22176,8.89%,5481,2.2%,790,0.32%,465,0.19%,21
Cuttack (12),450314,200499,44.52%,9414,2.09%,16744,3.72%,4086,0.91%,32649,7.25%,1465,0.33%,15243,3.38%,373021,82.84%,43992,9.77%,33301,7.4%,29588,6.57%,62004,13.77%,56078,12.45%,844,0.19%,4719,1.05,363,0.08%,36234,8.05%,2496,0.55%,209244,46.47%,6240,1.39%,232334,51.59%,3486,0.77%,7860,1.75%,122379,27.18%,87801,19.5%,38774,8.61%,7921,1.76%,1861,0.41%,1130,0.25%,21
Jajapur (13),409438,188415,46.02%,10564,2.58%,16610,4.06%,4977,1.22%,22775,5.56%,5196,1.27%,17426,4.26%,336147,82.1%,42084,10.28%,31207,7.62%,20452,5%,47709,11.65%,41237,10.07%,633,0.15%,5632,1.38,207,0.05%,33049,8.07%,975,0.24%,185691,45.35%,5299,1.29%,217473,53.12%,3921,0.96%,5862,1.43%,136151,33.25%,43272,10.57%,29514,7.21%,7834,1.91%,2400,0.59%,1279,0.31%,21
Dhenkanal (14),272795,137382,50.36%,3766,1.38%,5981,2.19%,2686,0.98%,12754,4.68%,1191,0.44%,5585,2.05%,243571,89.29%,17553,6.43%,11671,4.28%,11046,4.05%,21750,7.97%,19724,7.23%,442,0.16%,1451,0.53,133,0.05%,13729,5.03%,737,0.27%,71953,26.38%,1625,0.6%,198480,72.76%,1932,0.71%,4424,1.62%,93289,34.2%,15005,5.5%,15643,5.73%,5244,1.92%,1868,0.68%,1337,0.49%,21
Anugul (15),280707,98619,35.13%,11582,4.13%,19748,7.04%,1418,0.51%,18569,6.62%,8188,2.92%,6356,2.26%,235145,83.77%,18374,6.55%,27188,9.69%,17138,6.11%,41166,14.67%,35488,12.64%,675,0.24%,4191,1.49,812,0.29%,29647,10.56%,892,0.32%,79936,28.48%,4619,1.65%,195260,69.56%,2919,1.04%,6459,2.3%,130011,46.32%,11717,4.17%,15010,5.35%,6554,2.33%,1582,0.56%,1765,0.63%,21
Nayagarh (16),231192,103927,44.95%,4067,1.76%,4318,1.87%,2122,0.92%,10975,4.75%,538,0.23%,2481,1.07%,206741,89.42%,14875,6.43%,9111,3.94%,9028,3.9%,19232,8.32%,17780,7.69%,432,0.19%,906,0.39,114,0.05%,10368,4.48%,1534,0.66%,85439,36.96%,1446,0.63%,142773,61.76%,1628,0.7%,4550,1.97%,83437,36.09%,16517,7.14%,13217,5.72%,3260,1.41%,960,0.42%,1030,0.45%,21
Khordha (17),289703,132847,45.86%,8583,2.96%,8469,2.92%,2178,0.75%,16426,5.67%,942,0.33%,6675,2.3%,237719,82.06%,35383,12.21%,16601,5.73%,14627,5.05%,42588,14.7%,34204,11.81%,1532,0.53%,5678,1.96,1174,0.41%,23971,8.27%,2022,0.7%,143128,49.41%,3318,1.15%,141235,48.75%,2561,0.88%,4440,1.53%,74104,25.58%,26829,9.26%,16354,5.65%,3916,1.35%,1534,0.53%,1247,0.43%,21
Puri (18),325826,107011,32.84%,9165,2.81%,9513,2.92%,2576,0.79%,16475,5.06%,989,0.3%,7425,2.28%,281899,86.52%,27663,8.49%,16264,4.99%,14676,4.5%,33748,10.36%,30212,9.27%,579,0.18%,1806,0.55,1151,0.35%,16866,5.18%,996,0.31%,147081,45.14%,3130,0.96%,174619,53.59%,3735,1.15%,5902,1.81%,144671,44.4%,59856,18.37%,36922,11.33%,7439,2.28%,971,0.3%,607,0.19%,21
Ganjam (19),652975,326334,49.98%,13084,2%,13122,2.01%,2642,0.4%,22025,3.37%,1608,0.25%,7525,1.15%,564526,86.45%,62909,9.63%,25528,3.91%,19423,2.97%,52512,8.04%,41089,6.29%,1459,0.22%,8322,1.27,1642,0.25%,26414,4.05%,2275,0.35%,315256,48.28%,3904,0.6%,331540,50.77%,4995,0.76%,6259,0.96%,165429,25.33%,78948,12.09%,61235,9.38%,10318,1.58%,2832,0.43%,1870,0.29%,21
Gajapati (20),125989,75734,60.11%,1451,1.15%,2332,1.85%,225,0.18%,3208,2.55%,144,0.11%,533,0.42%,116978,92.85%,6448,5.12%,2396,1.9%,2461,1.95%,7051,5.6%,6193,4.92%,111,0.09%,573,0.45,174,0.14%,2266,1.8%,261,0.21%,19742,15.67%,430,0.34%,105112,83.43%,763,0.61%,524,0.42%,17213,13.66%,6823,5.42%,4509,3.58%,1462,1.16%,1045,0.83%,244,0.19%,21
Kandhamal (21),163937,82303,50.2%,1781,1.09%,3216,1.96%,299,0.18%,6634,4.05%,264,0.16%,837,0.51%,151983,92.71%,7245,4.42%,4674,2.85%,5520,3.37%,6617,4.04%,5801,3.54%,155,0.09%,512,0.31,149,0.09%,3308,2.02%,464,0.28%,18394,11.22%,627,0.38%,144452,88.11%,607,0.37%,1161,0.71%,49121,29.96%,10632,6.49%,11838,7.22%,1274,0.78%,492,0.3%,571,0.35%,21
Baudh (22),108931,36916,33.89%,1155,1.06%,1363,1.25%,409,0.38%,2998,2.75%,133,0.12%,342,0.31%,103079,94.63%,3481,3.2%,2371,2.18%,2433,2.23%,4941,4.54%,4468,4.1%,51,0.05%,339,0.31,83,0.08%,2315,2.13%,401,0.37%,20333,18.67%,296,0.27%,87901,80.69%,1045,0.96%,1720,1.58%,48281,44.32%,9584,8.8%,16028,14.71%,2458,2.26%,536,0.49%,288,0.26%,21
Subarnapur (23),147869,59550,40.27%,1841,1.25%,2012,1.36%,709,0.48%,5094,3.44%,225,0.15%,834,0.56%,134798,91.16%,8476,5.73%,4472,3.02%,4005,2.71%,10924,7.39%,9949,6.73%,119,0.08%,665,0.45,191,0.13%,5026,3.4%,727,0.49%,43703,29.56%,701,0.47%,102738,69.48%,2581,1.75%,2679,1.81%,54853,37.1%,23458,15.86%,10755,7.27%,3189,2.16%,330,0.22%,222,0.15%,21
Balangir (24),405981,169270,41.69%,3519,0.87%,5824,1.43%,2467,0.61%,12263,3.02%,559,0.14%,1925,0.47%,381921,94.07%,13596,3.35%,10344,2.55%,10221,2.52%,19325,4.76%,17853,4.4%,74,0.02%,1218,0.3,180,0.04%,7596,1.87%,1302,0.32%,77025,18.97%,894,0.22%,326760,80.49%,1975,0.49%,2433,0.6%,65196,16.06%,6274,1.55%,8574,2.11%,4518,1.11%,576,0.14%,443,0.11%,21
Nuapada (25),159117,48752,30.64%,1855,1.17%,2363,1.49%,756,0.48%,5362,3.37%,217,0.14%,687,0.43%,149003,93.64%,5609,3.53%,4505,2.83%,4275,2.69%,8351,5.25%,7524,4.73%,44,0.03%,641,0.4,142,0.09%,4148,2.61%,818,0.51%,35096,22.06%,365,0.23%,122838,77.2%,1234,0.78%,2154,1.35%,89946,56.53%,12073,7.59%,9969,6.27%,1349,0.85%,150,0.09%,201,0.13%,21
Kalahandi (26),383228,190329,49.66%,2863,0.75%,5741,1.5%,2427,0.63%,11745,3.06%,549,0.14%,1984,0.52%,361098,94.23%,12707,3.32%,9189,2.4%,9208,2.4%,20754,5.42%,18756,4.89%,237,0.06%,1566,0.41,195,0.05%,8070,2.11%,799,0.21%,68971,18%,656,0.17%,312802,81.62%,3158,0.82%,3968,1.04%,31930,8.33%,5900,1.54%,5984,1.56%,3716,0.97%,839,0.22%,573,0.15%,21
Rayagada (27),207646,120298,57.93%,2018,0.97%,2868,1.38%,532,0.26%,5542,2.67%,340,0.16%,3402,1.64%,194093,93.47%,8368,4.03%,4989,2.4%,4296,2.07%,11109,5.35%,9649,4.65%,126,0.06%,850,0.41,484,0.23%,5930,2.86%,722,0.35%,31248,15.05%,1305,0.63%,173838,83.72%,990,0.48%,867,0.42%,30791,14.83%,9702,4.67%,9828,4.73%,1744,0.84%,890,0.43%,402,0.19%,21
Nabarangapur (28),262396,97059,36.99%,3424,1.3%,2480,0.95%,602,0.23%,5622,2.14%,236,0.09%,963,0.37%,248353,94.65%,9227,3.52%,4815,1.84%,4350,1.66%,16105,6.14%,14618,5.57%,180,0.07%,1041,0.4,266,0.1%,4676,1.78%,1588,0.61%,46654,17.78%,1091,0.42%,213063,81.2%,2195,0.84%,2128,0.81%,131358,50.06%,9920,3.78%,7421,2.83%,3076,1.17%,586,0.22%,643,0.25%,21
Koraput (29),287844,134113,46.59%,2637,0.92%,5315,1.85%,610,0.21%,8183,2.84%,1039,0.36%,1639,0.57%,268683,93.34%,12186,4.23%,6877,2.39%,6622,2.3%,17163,5.96%,13523,4.7%,398,0.14%,3075,1.07,167,0.06%,7329,2.55%,679,0.24%,40923,14.22%,2382,0.83%,243860,84.72%,1280,0.44%,2233,0.78%,80291,27.89%,28618,9.94%,21586,7.5%,2192,0.76%,678,0.24%,465,0.16%,21
Malkangiri (30),134211,22975,17.12%,1238,0.92%,1699,1.27%,330,0.25%,3216,2.4%,130,0.1%,333,0.25%,126893,94.55%,4680,3.49%,2597,1.94%,2448,1.82%,7272,5.42%,6402,4.77%,64,0.05%,425,0.32,381,0.28%,2945,2.19%,241,0.18%,22719,16.93%,339,0.25%,110912,82.64%,765,0.57%,1686,1.26%,82588,61.54%,17094,12.74%,15650,11.66%,1512,1.13%,287,0.21%,308,0.23%,21
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,22
State Total,4540999,1698387,37.4%,25984,0.57%,81909,1.8%,25323,0.56%,198268,4.37%,13790,0.3%,30211,0.67%,4122115,90.78%,269673,5.94%,145294,3.2%,168744,3.72%,493940,10.88%,442183,9.74%,2363,0.05%,46366,1.02%,3028,0.07%,149420,3.29%,7245,0.16%,1297625,28.58%,23170,0.51%,3212958,70.75%,52991,1.17%,99072,2.18%,2006899,44.2%,276756,6.09%,488796,10.76%,161659,3.56%,7416,0.16%,6577,0.14%,22
Koriya (01),110427,37310,33.79%,1384,1.25%,4074,3.69%,446,0.4%,7451,6.75%,333,0.3%,222,0.2%,99565,90.16%,5096,4.61%,5381,4.87%,6625,6%,10694,9.68%,9540,8.64%,58,0.05%,925,0.84,171,0.15%,5603,5.07%,79,0.07%,25397,23%,513,0.46%,84438,76.46%,918,0.83%,1781,1.61%,56908,51.53%,6996,6.34%,5885,5.33%,2870,2.6%,318,0.29%,238,0.22%,22
Surguja (02),489557,122678,25.06%,3525,0.72%,10946,2.24%,3021,0.62%,23088,4.72%,1966,0.4%,971,0.2%,451603,92.25%,21456,4.38%,15611,3.19%,19927,4.07%,40670,8.31%,35947,7.34%,257,0.05%,4194,0.86,272,0.06%,12694,2.59%,349,0.07%,101108,20.65%,1779,0.36%,386321,78.91%,4306,0.88%,7898,1.61%,298677,61.01%,34918,7.13%,35503,7.25%,16905,3.45%,1402,0.29%,677,0.14%,22
Jashpur  (03),187698,43853,23.36%,1927,1.03%,4132,2.2%,738,0.39%,10391,5.54%,334,0.18%,484,0.26%,171618,91.43%,10127,5.4%,5791,3.09%,8581,4.57%,15442,8.23%,12950,6.9%,114,0.06%,2272,1.21,106,0.06%,5789,3.08%,232,0.12%,33168,17.67%,871,0.46%,153427,81.74%,1341,0.71%,2342,1.25%,124328,66.24%,4429,2.36%,7209,3.84%,3231,1.72%,325,0.17%,530,0.28%,22
Raigarh (04),315091,136646,43.37%,1006,0.32%,6039,1.92%,2665,0.85%,14783,4.69%,632,0.2%,4008,1.27%,285637,90.65%,18084,5.74%,10719,3.4%,12157,3.86%,42996,13.65%,38770,12.3%,164,0.05%,3797,1.21,265,0.08%,11892,3.77%,600,0.19%,94267,29.92%,1989,0.63%,218235,69.26%,3800,1.21%,8527,2.71%,129377,41.06%,13030,4.14%,23667,7.51%,10570,3.35%,588,0.19%,417,0.13%,22
Korba  (05),189855,88737,46.74%,1020,0.54%,6822,3.59%,865,0.46%,9685,5.1%,1607,0.85%,2330,1.23%,173341,91.3%,8256,4.35%,8108,4.27%,8249,4.34%,17418,9.17%,16058,8.46%,106,0.06%,1141,0.6,113,0.06%,6518,3.43%,174,0.09%,38674,20.37%,620,0.33%,150387,79.21%,981,0.52%,1247,0.66%,73399,38.66%,4293,2.26%,10170,5.36%,2039,1.07%,263,0.14%,201,0.11%,22
Janjgir - Champa (06),341618,149307,43.71%,1445,0.42%,4928,1.44%,3392,0.99%,13903,4.07%,695,0.2%,2073,0.61%,311512,91.19%,19888,5.82%,9759,2.86%,12326,3.61%,30743,9%,27973,8.19%,130,0.04%,2523,0.74,117,0.03%,13226,3.87%,302,0.09%,111203,32.55%,1215,0.36%,228898,67%,3510,1.03%,5070,1.48%,86103,25.2%,19050,5.58%,71516,20.93%,7033,2.06%,621,0.18%,927,0.27%,22
Bilaspur (07),487718,260461,53.4%,2865,0.59%,9353,1.92%,2709,0.56%,19244,3.95%,1465,0.3%,3122,0.64%,445684,91.38%,27239,5.58%,14738,3.02%,16670,3.42%,42744,8.76%,37416,7.67%,379,0.08%,4598,0.94,351,0.07%,17179,3.52%,486,0.1%,138958,28.49%,3230,0.66%,345044,70.75%,3609,0.74%,7428,1.52%,133728,27.42%,30457,6.24%,45332,9.29%,12394,2.54%,996,0.2%,845,0.17%,22
Kabeerdham (08),162182,74036,45.65%,554,0.34%,682,0.42%,797,0.49%,4635,2.86%,298,0.18%,115,0.07%,145044,89.43%,12893,7.95%,4094,2.52%,3478,2.14%,15956,9.84%,14191,8.75%,80,0.05%,1604,0.99,81,0.05%,2821,1.74%,170,0.1%,46403,28.61%,544,0.34%,115065,70.95%,2700,1.66%,5022,3.1%,64495,39.77%,22372,13.79%,10280,6.34%,10594,6.53%,161,0.1%,265,0.16%,22
Rajnandgaon (09),265975,74057,27.84%,1404,0.53%,3506,1.32%,1111,0.42%,11018,4.14%,743,0.28%,1864,0.7%,238710,89.75%,19238,7.23%,7642,2.87%,9225,3.47%,30737,11.56%,27425,10.31%,137,0.05%,3084,1.16,91,0.03%,7691,2.89%,1156,0.43%,92981,34.96%,2161,0.81%,169677,63.79%,4291,1.61%,8870,3.33%,162165,60.97%,20058,7.54%,23936,9%,14167,5.33%,204,0.08%,212,0.08%,22
Durg (10),424416,157093,37.01%,2158,0.51%,8171,1.93%,1705,0.4%,19502,4.6%,1712,0.4%,3341,0.79%,367503,86.59%,38217,9%,18500,4.36%,16768,3.95%,74512,17.56%,66567,15.68%,277,0.07%,7347,1.73,321,0.08%,17122,4.03%,836,0.2%,197282,46.48%,2966,0.7%,223332,52.62%,8220,1.94%,23338,5.5%,172880,40.73%,45995,10.84%,75434,17.77%,30464,7.18%,486,0.11%,755,0.18%,22
Raipur (11),584585,266022,45.51%,2989,0.51%,7583,1.3%,4084,0.7%,19505,3.34%,2358,0.4%,8692,1.49%,530024,90.67%,37632,6.44%,16929,2.9%,16729,2.86%,68482,11.71%,61248,10.48%,258,0.04%,6607,1.13,369,0.06%,20557,3.52%,584,0.1%,197157,33.73%,2555,0.44%,384289,65.74%,6563,1.12%,10880,1.86%,197719,33.82%,23945,4.1%,86240,14.75%,17086,2.92%,811,0.14%,592,0.1%,22
Mahasamund (12),244641,113693,46.47%,973,0.4%,2565,1.05%,1897,0.78%,8245,3.37%,465,0.19%,773,0.32%,225377,92.13%,13270,5.42%,5808,2.37%,6849,2.8%,26171,10.7%,23560,9.63%,67,0.03%,2422,0.99,122,0.05%,7061,2.89%,190,0.08%,64459,26.35%,742,0.3%,179250,73.27%,5274,2.16%,5381,2.2%,90686,37.07%,10613,4.34%,15862,6.48%,11654,4.76%,366,0.15%,294,0.12%,22
Dhamtari  (13),144908,56633,39.08%,1622,1.12%,2331,1.61%,801,0.55%,8090,5.58%,308,0.21%,705,0.49%,126802,87.51%,11796,8.14%,6309,4.35%,7075,4.88%,25269,17.44%,23067,15.92%,104,0.07%,2014,1.39,84,0.06%,4708,3.25%,347,0.24%,55242,38.12%,898,0.62%,88420,61.02%,3271,2.26%,5291,3.65%,40978,28.28%,18760,12.95%,35031,24.17%,11326,7.82%,245,0.17%,143,0.1%,22
Uttar Bastar Kanker (14),145079,31689,21.84%,935,0.64%,3929,2.71%,232,0.16%,9287,6.4%,209,0.14%,272,0.19%,131744,90.81%,7521,5.18%,5814,4.01%,8047,5.55%,15739,10.85%,14526,10.01%,68,0.05%,1070,0.74,75,0.05%,4499,3.1%,1151,0.79%,38293,26.39%,1406,0.97%,104229,71.84%,1648,1.14%,2569,1.77%,94941,65.44%,8007,5.52%,12045,8.3%,6443,4.44%,264,0.18%,117,0.08%,22
Bastar (15),276389,65561,23.72%,1479,0.54%,5255,1.9%,743,0.27%,12829,4.64%,490,0.18%,949,0.34%,256951,92.97%,13121,4.75%,6164,2.23%,10745,3.89%,23057,8.34%,20786,7.52%,99,0.04%,2043,0.74,129,0.05%,8011,2.9%,245,0.09%,46630,16.87%,914,0.33%,228600,82.71%,1950,0.71%,2545,0.92%,177148,64.09%,6941,2.51%,17465,6.32%,4269,1.54%,279,0.1%,203,0.07%,22
Narayanpur (16),23114,2039,8.82%,95,0.41%,140,0.61%,4,0.02%,973,4.21%,23,0.1%,105,0.45%,21791,94.28%,973,4.21%,350,1.51%,840,3.63%,907,3.92%,715,3.09%,3,0.01%,164,0.71,25,0.11%,681,2.95%,8,0.03%,1970,8.52%,46,0.2%,21090,91.24%,90,0.39%,102,0.44%,18177,78.64%,634,2.74%,892,3.86%,120,0.52%,5,0.02%,8,0.03%,22
Dakshin Bastar Dantewada (17),98185,11078,11.28%,440,0.45%,1034,1.05%,107,0.11%,3538,3.6%,78,0.08%,74,0.08%,93021,94.74%,2967,3.02%,2155,2.19%,2906,2.96%,8958,9.12%,8279,8.43%,44,0.04%,368,0.37,267,0.27%,2497,2.54%,210,0.21%,10781,10.98%,389,0.4%,86805,88.41%,280,0.29%,563,0.57%,56820,57.87%,4106,4.18%,5346,5.44%,281,0.29%,59,0.06%,122,0.12%,22
Bijapur (18),49561,7494,15.12%,163,0.33%,419,0.85%,6,0.01%,2101,4.24%,74,0.15%,111,0.22%,46188,93.19%,1899,3.83%,1422,2.87%,1547,3.12%,3445,6.95%,3165,6.39%,18,0.04%,193,0.39,69,0.14%,871,1.76%,126,0.25%,3652,7.37%,332,0.67%,45451,91.71%,239,0.48%,218,0.44%,28370,57.24%,2152,4.34%,6983,14.09%,213,0.43%,23,0.05%,31,0.06%,22
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,23
State Total,11288946,5061011,44.83%,92564,0.82%,223837,1.98%,58649,0.52%,403915,3.58%,61468,0.54%,104489,0.93%,9424603,83.49%,1274665,11.29%,589600,5.22%,335368,2.97%,1879179,16.65%,1571504,13.92%,20825,0.18%,259366,2.3%,27484,0.24%,455319,4.03%,26029,0.23%,5285200,46.82%,114879,1.02%,5862807,51.93%,470155,4.16%,754316,6.68%,3774840,33.44%,2848746,25.23%,1250750,11.08%,1718818,15.23%,51666,0.46%,36278,0.32%,23
